harvest_year,manure_type,date_applied,strip,sample,replicate,amount_FW_ t_ha,DM_percent,amount_DM_t_ha,N_percent_FW,C_percent_DM,P_percent_DM,K_percent_DM,Ca_percent_DM,Mg_percent_DM,Na_percent_DM,S_percent_DM,Fe_percent_DM,Mn_percent_DM,Zn_percent_DM,Cu_percent_DM,Ni_percent_DM,Co_percent_DM,Cd_percent_DM,Cr_percent_DM,Pb_percent_DM,N_kg_ha,C_kg_ha,P_kg_ha,K_kg_ha,Ca_kg_ha,Mg_kg_ha,Na_kg_ha,S_kg_ha,Fe_kg_ha,Mn_kg_ha,Zn_kg_ha,Cu_kg_ha,Ni_kg_ha,Co_kg_ha,Cd_kg_ha,Cr_kg_ha,Pb_kg_ha,C:N,note_id
1850-1860,FYM,autumn,2.2,*,*,35.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,224.000,*,39.000,157.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"1,4"
1860-1880,FYM,autumn,2.2,*,*,35.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,224.000,*,39.000,219.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"1,4"
1900-1910,FYM,autumn,"2.1, 2.2",*,*,35.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,224.000,*,39.000,95.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"1,4"
1930-1940,FYM,autumn,"2.1, 2.2",*,*,35.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,224.000,*,50.000,230.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"1,4"
1941-1950,FYM,autumn,"2.1, 2.2",*,*,35.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,191.000,*,45.000,179.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"1,4"
1951-1959,FYM,autumn,"2.1, 2.2",*,*,35.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,179.000,*,28.000,157.000,*,*,20.000,*,*,*,*,*,*,*,*,*,*,*,"1,3,4"
1967,FYM,1966-10-14 00:00:00,"2.1, 2.2",A,*,35.000,25.000,8.750,0.700,*,0.409,3.100,*,*,*,*,*,*,*,*,*,*,*,*,*,245.000,*,35.800,271.300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1967,FYM,1966-10-14 00:00:00,"2.1, 2.2",B,*,35.000,20.900,7.315,0.598,*,0.388,3.000,*,*,*,*,*,*,*,*,*,*,*,*,*,209.300,*,28.400,219.500,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1968,FYM,1967-09-18 00:00:00,"1, 2.1, 2.2",A,*,35.000,25.750,9.012,0.619,*,0.547,3.460,1.500,0.300,0.315,*,*,*,*,*,*,*,*,*,*,216.600,*,49.300,311.800,135.200,27.000,28.400,*,*,*,*,*,*,*,*,*,*,*,*
1968,FYM,1967-09-18 00:00:00,"1, 2.1, 2.2",B,*,35.000,26.750,9.363,0.623,*,0.454,3.600,1.410,0.290,0.310,*,*,*,*,*,*,*,*,*,*,218.000,*,42.500,337.100,132.000,27.200,29.000,*,*,*,*,*,*,*,*,*,*,*,*
